dates,Min_Temp,Max_Temp,Precipitation,Humidity,Evapotranspiration
01/01/2016 00:00,4.81,53.48,32.39,90,2.9
01/02/2016 00:00,12.31,71,36.93,86.07,6.1
01/03/2016 00:00,11.68,88.35,19.84,84.61,10.77
01/04/2016 00:00,30.23,127.43,22.9,79.9,19.63
01/05/2016 00:00,87.9,197.32,11.91,72.13,30.9
01/06/2016 00:00,123.73,215.7,30.67,82.4,31.07
01/07/2016 00:00,129.45,226.45,28.81,82.71,30.9
01/08/2016 00:00,116.74,222.26,20.82,83.52,26.94
01/09/2016 00:00,102.83,226.93,9.81,81.77,21.77
01/10/2016 00:00,48.13,132.74,11.49,89.1,8.19
01/11/2016 00:00,14.17,81.83,13.84,88.13,3.87
01/12/2016 00:00,21.32,69,10.17,91.74,2.42
