Date,Tick_Count,Min_Temp,Max_Temp,Precipitation,Humidity,Evapotranspiration
01/01/2007,0,39.29,86.77,47.07,87.97,2.42
01/02/2007,1,24.21,78.04,32.93,92.29,4.32
01/03/2007,10,32.74,119.16,24.65,80.9,13.35
01/04/2007,42,51.4,190.07,0.11,67.67,26.8
01/05/2007,42,79.65,181.71,42.04,77.81,26.39
01/06/2007,60,127,219.33,42.77,84.7,30.13
01/07/2007,57,121.29,208.87,53.13,84.39,27.9
01/08/2007,20,112.61,215.16,13.33,82.94,26.06
01/09/2007,8,94.6,176.53,26.47,86.4,15.57
01/10/2007,21,51.35,131.97,7.91,89.1,8
01/11/2007,3,34.07,88.93,26.8,90.37,3.17
01/12/2007,0,11.52,56.81,25.62,91.84,2.23
01/01/2008,0,31.71,79.03,42.17,87.16,2.1
01/02/2008,0,12.28,83.31,15.44,82.45,6.24
01/03/2008,0,19.77,85.74,39.1,81.61,9.55
01/04/2008,14,30.4,133.57,7.77,74.63,19.97
01/05/2008,10,79.35,208.19,3.91,66.06,32.29
01/06/2008,27,99.7,218.33,11.61,72.7,33.87
01/07/2008,13,126.06,225.87,41.03,81.16,30.58
01/08/2008,23,125.23,213.48,32.2,84.94,23.03
01/09/2008,25,83.37,180.13,18.9,85.17,16.6
01/10/2008,9,58.45,132.55,34,90.81,8.32
01/11/2008,6,40.97,87.9,31.87,92.87,2.97
01/12/2008,0,-7,42.19,6.49,94.55,2.52
01/01/2009,0,-19.94,29.74,13.71,91.23,2.65
01/02/2009,0,6.57,50.43,18.36,91.5,3.64
01/03/2009,11,19.74,90.74,21.71,86.58,9.35
01/04/2009,25,56.7,182.17,3.61,75.53,24.83
01/05/2009,85,74.29,185.42,20.07,73.84,30.35
01/06/2009,148,95.37,201.17,15.71,75.27,32.6
01/07/2009,75,123,223.74,52.75,80.13,31.58
01/08/2009,83,118.39,232.94,8.11,78.29,28.61
01/09/2009,41,92.17,195.3,10.58,84.57,17.43
01/10/2009,14,54.74,133.23,25.91,87.39,8.29
01/11/2009,0,65.33,111.3,30.88,89.23,2.83
01/12/2009,0,-10.71,36.65,25.97,92.23,1.9
01/01/2010,0,-45.1,-0.03,11.37,92.71,2.26
01/02/2010,0,-23.75,25.43,26.07,90.89,3.71
01/03/2010,0,22.35,94.87,20.49,80.52,11.26
01/04/2010,18,36.97,149.1,11.57,69.7,23.13
01/05/2010,53,54.39,145.55,20.16,77.65,23.87
01/06/2010,105,90.17,219.33,6.04,73.07,35.8
01/07/2010,77,129.77,257.97,33.81,72.45,38.03
01/08/2010,90,113.61,207.68,50,84.29,23.65
01/09/2010,70,85.6,171.2,32.6,88.13,14.63
01/10/2010,31,61.16,136.03,17.94,88.42,8.9
01/11/2010,4,25.5,72.67,21.01,92.1,3
01/12/2010,0,-55.65,-4.77,16.3,92.35,1.81
01/01/2011,0,6.1,48.58,19.36,92.9,2.52
01/02/2011,0,8.29,58.57,14.72,87.29,4.54
01/03/2011,2,3.97,106.06,6.36,81.74,12.16
01/04/2011,76,61.17,188.23,1.14,69.47,26.6
01/05/2011,145,73.68,193.42,15.2,68.94,30.1
01/06/2011,342,102.47,208.63,28.8,78.43,30.47
01/07/2011,611,110.52,196.71,34.36,82.77,25.19
01/08/2011,358,117,212.45,48.78,86.87,22.68
01/09/2011,259,100.03,199.17,29.64,86.57,17.63
01/10/2011,135,62.35,151.58,22.46,86.9,9.97
01/11/2011,31,29.13,90.1,1.67,92.77,3.9
01/12/2011,4,33.97,77.39,43.26,88.94,2
01/01/2012,4,14.9,63.71,32.91,87.97,2.9
01/02/2012,0,-29.9,35.24,8.08,84.59,4.76
01/03/2012,19,37.29,121.23,5.01,85.29,12.77
01/04/2012,57,36.2,121.23,23.47,82.3,16.1
01/05/2012,45,88,192.94,23.13,74.71,29.29
01/06/2012,280,96.07,185.47,24.9,79.27,25.57
01/07/2012,258,119,215.74,35.65,80.32,31.03
01/08/2012,140,122.94,232.84,26.52,79.55,29.55
01/09/2012,199,88.17,183,18.07,83.37,17.2
01/10/2012,103,63.19,138.68,23.58,86.65,8.23
01/11/2012,22,30.87,89.33,12.14,90.53,3.5
01/12/2012,0,11.39,61.68,36.81,90.06,2.06
01/01/2013,5,-7.03,33.94,18.49,86.68,2.06
01/02/2013,0,-13.54,32.11,11.44,85.29,4.39
01/03/2013,7,-22.06,46.29,5.81,73.55,9.45
01/04/2013,12,17.47,132.43,8.37,73.87,19.13
01/05/2013,54,65.39,164.48,19.39,79.06,23.48
01/06/2013,246,98.27,198.63,24.24,75.23,30.67
01/07/2013,373,115.97,241.1,13.11,77.65,33.77
01/08/2013,286,108.39,233.71,14,77.45,29.74
01/09/2013,210,90.97,186.3,32.24,84.37,16.2
01/10/2013,135,76.48,155.23,27.81,85.1,9.16
01/11/2013,40,35.13,89.63,38.6,91.27,3.63
01/12/2013,4,28.39,78.97,21.71,88.84,2.13
01/01/2014,6,19.77,66.23,20,88.45,2.71
01/02/2014,0,27.61,90.25,16.86,82.82,6.14
01/03/2014,6,26.84,132.29,14.69,79.03,14.81
01/04/2014,105,64.63,165.87,26.85,81.7,19.67
01/05/2014,60,83,173.32,61.13,78.77,25.68
01/06/2014,140,106.87,207.97,20.77,78.33,31.17
01/07/2014,161,142.87,247.97,16.49,79.23,34.94
01/08/2014,106,110.55,209.48,32.32,81.65,25.35
01/09/2014,81,102.93,206.9,4.84,86.33,18.43
01/10/2014,44,96.35,161.94,17.81,90.26,8.1
01/11/2014,26,48.8,100.37,12.67,91.67,4.57
01/12/2014,0,15.84,63.39,35.4,87.13,2.1
